andpsorts url	profile description
suaventura	"Somos una empresa pionera en el Alojamiento Medico Termal, en el desarrollo de Actividades de Aventura, Circuitos Culturales y de Ocio en todo el Valle Júcar-Cabriel. Desde este maravilloso enclave ofrecemos nuestras instalaciones y servicios a una hora desde Valencia y a dos desde Madrid.
Podrás practicar con nosotros todo tipo de deportes de aventura, combinándolo con visitas culturales ó tratamientos hidrotermales, para encontrar ese estado de calma y diversión que tanto buscas.
Ideal para grupos de amigos, empresas o escolares.
Nuestra amplia variedad de alojamiento y actividades, nos posiciona como la mejor opción para parejas y familias que buscan algo diferente. Tenemos todo tipo de programas a la medida de sus necesidades.
Nuestros Alojamientos son el Hotel Hervideros de Cofrentes***, el Hotel Cofrentes Golf*** y el Albergue Rural Hervideros.

Todas nuestras actividades y servicios cuentan con personal cualificado, seguros RC, seguros médicos y material necesario - homologado para su desarrollo con total seguridad y garantías. Permítanos ofrecerle un trato muy especial y un servicio personalizado y cualificado.
Ofrecemos nuestros servicios personalizados como asesores, técnicos  y guías a todos los clientes que deseen visitar y conocer el Valle Júcar-Cabriel y realizar cualquier actividad de turismo activo o cultural.
Posibilidad de contratación de Guías o Técnicos en exclusiva para Ud. Ayudándole a conocer y disfrutar del Valle del Júcar-Cabriel y en la realización de cualquier actividad que desee realizar.
Utilice nuestros conocimientos, díganos dónde quiere ir y cómo, que desea hacer y nosotros haremos el resto."
submarinismo-gran-ocea-sabadell	"Gran Oceà es una tienda dedicada a la venta de material de subacuático.

Dentro de las cuales tenemos un apartado dedicado a este deporte, el submarinismo.

También hacemos salidas con nuestros clientes todas las semanas y organizamos viajes.

Si necesitas asesoramiento esta es tu tienda.

Os esperamos."
suhecacom-triatlo	Triatlón en Sueca.
surfboat-fuerteventura---daily-boat-tours	"Excursiones privadas en velero en Fuerteventura. Descubre lugares maravillosos como Isla de Lobos o la costa sur de Lanzarote. Disfruta de sus aguas turquesas y cristalinas navegando a vela, tomando un baño, nadando, snorkel, pescando o practicando Paddle Surf. Todo ello, acompañado de una deliciosa comida canaria tradicional."
surfing-san-sebastian	"Surfing San Sebastián es una empresa  especializada en surfing creada en 2008 como fruto de los mas de 25 años de experiencia en nuestra playa y océanos del mundo.

Ponemos a tu disposición esta plataforma en Internet a través de la cual adentrarte, conocer, participar, aprender, disfrutar y beneficiarte de todo lo que tenga que ver y esté relacionado con el mundo del surfing.

En nuestra Escuela de Surf podrás elegir entre varios tipos de cursos para surfistas principiantes o mas experimentados, garantizándote una enseñanza de calidad.
En la Tienda Online podrás encontrar nuestra marca de ropa Surfing San Sebastián Clothing, creada en el fondo del mar y que pretende ser una opción diferente a la moda street. También puedes encargar tu Tabla de Surf a medida, para ello contamos con un novedoso sistema de encargo, que sirve de gran ayuda al shaper alcanzando altísimos porcentajes de acierto.

En nuestra Sección de Viajes podrás reservar las mejores ofertas especializadas en destinos de surf, para ello contamos con agentes profesionales con una contrastada trayectoria.

Nuestra filosofía es el Surfing como un arte, un acercamiento a la naturaleza, un deporte, un medio de aprendizaje y disfrute, una proximidad entre diferentes culturas y un respeto por nuestras normas y océanos."
sve-voluntarios-madrid	"Baloncesto,Fútbol,Padel,Skate en Madrid."
swing-maniacs	"Escola de balls de Swing a Barcelona, si vols aprendre o millorar el teu ball de Lindy Hop, Charleston, Jazz Steps i Claqué aquí trobaràs tota la informació sobre els cursos regulars i intensius, també totes les mogudes i altres activitat que organitza"
systema-barcelona	"Desde Mayo 2011 el estudio de Systema (Russian Martial Arts) se ha incorporado a las disciplinas de Bushi Dojo. El grupo de estudio está liderado por Kim Oliveras, asistido por Dani Esteban, ambos estudiantes autorizados a impartir clase y supervisados por el Instructor Oficial Julien Detant, certificado por Vladimir Vassiliev. Para más información sobre Systema: http://www.systema-madrid.es/"
tada-ima-dojo-sabadell	"Escuela de artes marciales especializada combinada con un apartado terapéutico de salud &amp; bienestar."
tadeosports	"Tadeo Sports, tu escuela IKO  en Valencia de Windsurf, Kite surf, Bodyboard, Surf y complementos náuticos. Está dirigida por TADEO con mas de 15 años en competiciones, cuya experiencia refleja en los cursos que imparte, tanto de nivel principiante como avanzado. Instructor titulado IKO nº 5796 niveles 1 y 2.
El curso de kitesurf comprende una teorica donde se explican los vientos, los más idóeos y su potencia en nudos. Seguidamente montaje del kite según las normas IKO, que  seguirá con el  pilotaje con una serie de ejercicios en la arena. una vez superado este nivel continuara con ejercicios en el agua (bodydrag), relanzamiento del kite y por último ejercicio, será el Waterstar, salir con la tabla.  El objetivo del curso es el control absoluto del kite y de la tabla. A finalizar el curso se dará una acreitacion IKO internacional con el nivel obtenido en el curso.

El curso se puede contratar por niveles:
 - Bautizo de Kite
 - Nivel 1: Arena
 - Nivel 2: Arena y Agua
- Por horas"
tai-chi	"Clases de Tai Chi para ayudar con el equilibrio, la concentración, la conciencia del cuerpo, niveles de energía y el bienestar.
Son solo 25 euros por mes para una clase de una hora cada semana.
También ofrezco sesiones de shiatsu a un precio de descuento para alumnos."
tai-txi-centre-bcn-i-putxet	"Tai txi txuan i Txi kung a Barcelona. Per augmentar l'energia vital i millorar la salut i la longevitat a través de l'equilibri cos-ment. Un cop per setmana. Dues opcions a escollir: dilluns tarda al centre de Barcelona (metro Rambles) o dissabte matí a l'aire lliure (Parc del Putxet). Quota segons l'opció escollida. Primera classe gratuïta.

Instructora: Pilar G. (Sostcampiona de Catalunya 2012 Taitxi mà buida)."
tesoros-taoistas-chi-kung-taichi	"Maestro nativo xia

Clases de qi qong y taijiquan. De todos los niveles

Cursos de monitor de taichi y chikung

Clases a domicilio y particulares"
test	onjojhoijoij
test2	Ybibinok
test3	asasd
test33	test33
testdos	"oidonwoc
dpskcdcm
mäósd,p"
testuno	"Testuno lajsdojaopsidjpajdpoajop
apsidjpaiojdpojaspj apsjdpjd asjd dj aj"
the-4x4-range-club-espana	"Viajes y Aventuras por Africa
4x4 Range Club Afriquia Adventures
Range club España es un club 4x4 que ofrece soporte integro para todo tipo de travesias por Africa, de forma especial en Marruecos.
A lo largo de la ultima decada diferentes grupos de vehiculos y motocicletas, avalan nuestros servicios prestados durante todas las travesias en las que contrataron de nuestros servicios.

Range Club Spain is a 4x4 club that offers integrated support for all types of voyages to Africa, most especially in Morocco.
Over the last decade different groups of vehicles and motorcycles, guarantee our services performed during all voyages in which contracted for our services."
tineo-atletismo	"Atletismo,Correr,Jogging,Running en Tineo."
topten-tennis-club	"Tenis,Tenis en Platja d'Aro."
tornasol-aventura	"Desde 1991 TORNASOL AVENTURA les ofrece todo tipo de programas de turismo activo, trekking, senderismo, ciclismo en las vías verdes, para grupos pequeños y medianos. Expertos en travesías Ull de Ter - Núria, Canigó, Puigmal... Consulte sin compromiso"
trail-roquetes	"TRAIL ROQUETES:
Aquest és el perfil Andsports del Trail Roquetes. Es troba obert a tothom qui vulgui venir a còrrer, trotar o marxar amb nosaltres.

Ens trobem dimarts i dijous a les 20h 15m al davant del AQUA ROQUETES (zona pavelló). En funció del nivell i de les necessitats d' entrenament n' hi ha que comencen abans o l' acaben més tard, però és voluntat retrobar-se a n' aquella hora per trotar tots junts (5,7 ó 10 km) per tal de comentar novetats i coneixe' ns. 

Per temes puntuals feu servir el xat. Així mateix s' agrairà una crònica de cada entrenament o activitat feta pels membres del grup. 

Tant les cròniques com consultes més específiques envieu-les a rroquetes@gmail.com "
triaspe	Triatlón en Aspe.
triatlon-ferrol	Triatlón en Ferrol.
tropical-padel-club	Padel en Motril.
ungravity-skate-school	"Somos una empresa joven y profesional dedicada a la enseñanza y a la promoción del Freestyle!

Ven a disfrutar del deporte extremo con nuestra Escuela, Club y Campamentos de SKATEBOARD.

Recuerda que también puedes disfrutar de nuestras escuelas de Snowboard, Freeski, Skate, Inline, Kite, Snowkite, Surf, SUP, Scooter, Surf, BMX &amp; MTB Downhill.

Somos la Escuela de deportes extremos que estabas buscando.

"
unio-esportiva-girona	"Baloncesto,Fútbol,Natación,Tenis en Girona."
union-ciclista-burgalesa	Ciclismo en Burgos.
urruti-sport	"Disfruta de un excitante vuelo acompañado por un instructor de vuelo titulado. No necesitas ningún tipo de experiencia, ni aprendizaje previo."
utebo-club-atletismo	Carrera popular en Utebo.
valencia-club-de-hockey	"En Valencia existen en la actualidad 7 clubes: el más antiguo es el Valencia CH que se creó en los años veinte del siglo pasado, siendo el único que ha llegado a militar (en nueve ocasiones) en la División de Honor.

Como el hockey no está en condiciones de descartar a nadie que se interese por practicarlo, prometen entrenamientos y partidos a todos aquellos que se apunten, organizando equipos A, B, C y hasta agotar el abecedario. 

Objetivo: crecer como sociedad deportiva, así como consolidar nuestra cantera como una de las mejores de España. 

El club es poco menos que una cooperativa de jugadores donde todos contribuyen a su engrandecimiento. 

Setenta y dos años y un título de Copa de España, allá por 1931, y una Copa de España de 1ª División lograda en la temporada 2005 – 2006, contemplan al club más prestigioso de la ciudad, reconvertido tras la Guerra Civil en sección del Valencia CF y que, desde 1995 actúa como club independiente. 

Los entrenamientos son preparados y dirigidos por personal altamente cualificado, procedente del IVEF, con titulación de entrenador nacional."
veleros-con-patron	"Somos una empresa joven, dinámica y con muchas ganas de navegar. Salimos con el  velero a diario en excursiones cortas por las islas Medas y la Costa Brava, en general. Pero también hemos cruzado nueve veces el Atlántico y te podemos llevar hasta el Caribe. Vive tu sueño con nosotros."
vents-muntanya-i-natura	"Tienda especializada en material de montaña (escalada, alpinismo, senderismo, barrancos,espeleología, carreras de montaña, trabajo vertical). Disponemos de sala de búlder para entrenamiento."
vertical-azul	"Vertical Azul es tu nueva gran Comunidad sobre el apasionante mundo de la pesca submarina y apnea. Aquí encontraras una gran variedad de foros,  artículos, temas y noticias, además de una gran cantidad de amigos enamorados de nuestro bello deporte. Grandes consejos para compartir con aquellos que se inician y todo tipo de material para su práctica. ¡Sumérgete con nosotros y participa!
En los distintos apartados de nuestra Comunidad podrás encontrar, entre otros, los siguientes temas:
Quedadas, Dibujos de nuestros Usuarios, Sección de Fotos, Videos, Gastronomía, Tienda Virtual, Foro, Chat, Comunidad, Secciones sobre La Mar, El Tiempo, Noticias relacionadas con el mundo del submarinismo y un formulario de Contacto, en el que podrás contactar con nosotros vía Mail para que puedas exponer tus dudas o preguntas.
Queremos que ésta sea una Comunidad interactiva donde nuestros Usuarios puedan participar de todas nuestras secciones y puedan conocer a personas de variados lugares a través de nuestro Chat On-Line. "
